,year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
7,2010,Cow Hollow,569.3799679261333,372560.0,1239.0
31,2010,Miraloma Park,680.6087291389301,372560.0,1239.0
41,2010,Pacific Heights,496.5160141469498,372560.0,1239.0
46,2010,Potrero Hill,491.45000385678617,372560.0,1239.0
47,2010,Presidio Heights,549.4179312485746,372560.0,1239.0
49,2010,South Beach,1037.0997886617895,372560.0,1239.0
52,2010,Telegraph Hill,524.7935090952678,372560.0,1239.0
54,2010,Union Square District,569.1934475267735,372560.0,1239.0
67,2011,Cow Hollow,390.5956530284181,374507.0,1530.0
89,2011,Miraloma Park,414.6760647760375,374507.0,1530.0
100,2011,Pacific Heights,509.0214800287398,374507.0,1530.0
105,2011,Potrero Hill,503.13850456030497,374507.0,1530.0
106,2011,Presidio Heights,493.814917282618,374507.0,1530.0
108,2011,South Beach,388.6443367815386,374507.0,1530.0
111,2011,Telegraph Hill,483.4057725178001,374507.0,1530.0
113,2011,Union Square District,302.1232528096913,374507.0,1530.0
126,2012,Cow Hollow,644.8183066758802,376454.0,2324.0
146,2012,Merced Heights,421.1412447061912,376454.0,2324.0
148,2012,Miraloma Park,756.1923725098497,376454.0,2324.0
160,2012,Pacific Heights,586.2182148097696,376454.0,2324.0
165,2012,Potrero Hill,466.6478402167172,376454.0,2324.0
166,2012,Presidio Heights,426.6085920717133,376454.0,2324.0
169,2012,Telegraph Hill,465.8021216317738,376454.0,2324.0
171,2012,Union Square District,445.1967876448792,376454.0,2324.0
184,2013,Cow Hollow,707.4028088888208,378401.0,2971.0
214,2013,Pacific Heights,503.8992613300536,378401.0,2971.0
219,2013,Potrero Hill,598.704795328917,378401.0,2971.0
220,2013,Presidio Heights,512.8402484358224,378401.0,2971.0
224,2013,Telegraph Hill,653.3116166908643,378401.0,2971.0
226,2013,Union Square District,1290.472106646641,378401.0,2971.0
240,2014,Cow Hollow,691.8654114838455,380348.0,3528.0
261,2014,Merced Heights,528.7265413888829,380348.0,3528.0
262,2014,Miraloma Park,1267.7662026328828,380348.0,3528.0
272,2014,Pacific Heights,824.6586936349588,380348.0,3528.0
277,2014,Potrero Hill,1045.2015459222662,380348.0,3528.0
278,2014,Presidio Heights,603.4509968798565,380348.0,3528.0
281,2014,South Beach,524.6293121403909,380348.0,3528.0
284,2014,Telegraph Hill,708.1930316849231,380348.0,3528.0
286,2014,Union Square District,558.2711194060469,380348.0,3528.0
291,2014,Westwood Park,742.9797231632552,380348.0,3528.0
301,2015,Cow Hollow,598.6205414959002,382295.0,3739.0
335,2015,Pacific Heights,910.1876901656898,382295.0,3739.0
339,2015,Potrero Hill,821.3009904764873,382295.0,3739.0
340,2015,Presidio Heights,,382295.0,3739.0
344,2015,Telegraph Hill,996.9902204858652,382295.0,3739.0
346,2015,Union Square District,2258.702831998355,382295.0,3739.0
357,2016,Cow Hollow,1059.0656015492618,384242.0,4390.0
374,2016,Merced Heights,1416.6666666666667,384242.0,4390.0
384,2016,Pacific Heights,996.3893635634032,384242.0,4390.0
387,2016,Potrero Hill,707.6516094320913,384242.0,4390.0
388,2016,Presidio Heights,1465.9685863874345,384242.0,4390.0
392,2016,Telegraph Hill,903.0497705987848,384242.0,4390.0
396,2016,Westwood Park,631.1954258724091,384242.0,4390.0
